case_number,id,date,district,beat,injury_type,cleared,date_clear
E294110,24408,1966-09-14 04:10:00,16,1613,SHOT,Y,2019-02-14
G295086,26156,1968-08-03 23:30:00,12,1232,STABBED,Y,2021-07-29
J507735,26269,1970-11-27 07:50:00,12,1235,STABBED,Y,2021-09-10
P120371,24970,1974-03-22 16:00:00,11,1133,SHOT,Y,2020-02-26
Y316342,25778,1977-08-28 02:19:00,12,1213,SHOT,Y,2021-02-19
Y330414,24479,1977-09-07 03:00:00,2,224,SHOT,Y,2019-04-09
Y412650,25358,1977-11-05 23:00:00,12,1215,SHOT,Y,2020-07-30
Z453630,24519,1978-12-13 08:15:00,16,1634,SHOT,Y,2019-04-29
A020847,26218,1979-01-20 23:15:00,12,1235,SHOT,Y,2021-08-18
JB102719,24584,1980-11-10 06:03:00,3,321,SHOT,Y,2019-05-28
E167591,5988,1983-05-14 00:15:00,17,1713,SHOT,Y,2020-08-28
F352223,6901,1984-09-15 15:15:00,12,1222,BLUNT FORCE INJURY,Y,2021-10-27
G284899,24954,1985-07-25 00:00:00,14,1423,SHOT,Y,2020-02-10
K561848,9770,1988-12-18 01:33:00,14,1413,SHOT,Y,2019-02-22
M020710,9822,1989-01-14 03:29:00,25,2524,SHOT,Y,2020-05-12
M154391,9981,1989-04-10 04:38:00,14,1432,STRANGULATION,Y,2020-06-06
M527420,10423,1989-11-13 21:25:00,6,612,STABBED,Y,2021-09-09
N385696,11063,1990-08-18 22:30:00,19,1915,SHOT,Y,2019-10-04
P609008,24997,1991-12-16 00:01:00,2,225,SHOT,Y,2020-03-25
T303796,12768,1992-07-02 13:02:00,11,1115,STABBED,Y,2020-04-13
Z285085,15418,1995-06-25 23:30:00,19,1914,SHOT,Y,2020-12-10
Z532086,15750,1995-11-10 05:24:00,17,1713,SHOT,Y,2021-09-15
Z532086,15751,1995-11-10 05:24:00,17,1713,SHOT,Y,2021-09-15
B139719,16771,1997-03-07 02:20:00,7,711,SHOT,Y,2020-05-26
B139719,16770,1997-03-07 02:20:00,7,711,SHOT,Y,2020-05-26
B683590,17278,1997-10-25 00:02:00,9,931,SHOT,Y,2019-06-14
B747827,17339,1997-11-21 23:49:00,11,1114,SHOT,Y,2020-11-06
C475067,24984,1998-07-28 18:10:00,22,2222,SHOT,Y,2020-04-18
C757492,18067,1998-11-27 06:48:00,15,1531,ASSAULT,Y,2021-03-31
D045346,18165,1999-01-23 13:45:00,20,2024,ASSAULT,Y,2020-10-30
D266995,18673,1999-05-06 19:42:00,11,1123,SHOT,Y,2020-04-17
D299595,18347,1999-05-20 19:35:00,10,1011,SHOT,Y,2021-03-02
D439410,24236,1999-07-18 22:40:00,11,1111,SHOT,Y,2019-05-10
D463755,18496,1999-07-28 21:35:00,4,423,SHOT,Y,2021-03-10
D565048,18584,1999-09-09 22:18:00,25,2533,SHOT,Y,2019-05-31
F598822,460,2000-09-26 22:30:00,1,132,STABBED,Y,2020-09-04
F632573,488,2000-10-11 17:20:00,15,1531,SHOT,Y,2019-01-19
F651190,503,2000-10-19 20:15:00,5,513,SHOT,Y,2021-04-19
G052279,669,2001-01-25 19:38:00,7,713,SHOT,Y,2021-07-16
G183384,24420,2001-03-31 20:40:00,15,1522,SHOT,Y,2019-02-25
G317538,842,2001-06-01 20:00:00,15,1511,SHOT,Y,2019-01-22
G462025,994,2001-08-04 22:30:00,2,231,STABBED,Y,2021-09-27
G556311,1083,2001-09-16 20:15:00,10,1023,SHOT,Y,2021-02-26
G610951,1142,2001-10-11 14:20:00,2,224,STABBED,Y,2021-02-04
G675344,1201,2001-11-09 13:46:00,4,431,SHOT,Y,2021-04-14
HH411508,1514,2002-06-01 13:15:00,24,2422,STRANGULATION,Y,2021-07-02
HH435955,1539,2002-06-12 07:30:00,20,2024,STRANGULATION,Y,2019-09-23
HH476789,1572,2002-06-29 22:50:00,3,322,SHOT,Y,2020-06-07
HH485645,1586,2002-07-03 00:15:00,3,321,SHOT,Y,2021-06-17
HH505592,1615,2002-07-12 19:16:00,9,912,SHOT,Y,2021-11-05
HH620022,1731,2002-09-02 01:00:00,1,134,SHOT,Y,2021-02-01
HH695279,24684,2002-10-06 01:22:00,2,225,SHOT,Y,2019-11-05
HJ232582,2041,2003-03-12 06:25:00,9,913,SHOT,Y,2020-01-28
HJ397755,2190,2003-05-30 23:40:00,11,1124,SHOT,Y,2021-11-29
HJ514837,2295,2003-07-24 02:10:00,7,712,SHOT,Y,2019-02-22
HJ643457,2394,2003-09-21 04:31:00,3,323,SHOT,Y,2021-05-24
HK398371,2727,2004-05-30 21:00:00,10,1023,SHOT,Y,2021-01-09
HK498920,2803,2004-07-16 04:35:00,11,1133,SHOT,Y,2020-04-30
HK512195,2812,2004-07-22 03:13:00,5,533,SHOT,Y,2019-06-21
HK828074,3005,2004-12-25 22:39:00,5,522,SHOT,Y,2021-03-04
HL269483,3094,2005-04-02 01:43:00,11,1111,SHOT,Y,2021-10-16
HL352987,3478,2005-05-12 23:44:00,4,434,SHOT,Y,2019-03-11
HL412803,3187,2005-06-11 01:56:00,8,832,SHOT,Y,2020-06-04
HL475827,3241,2005-07-11 02:01:00,6,624,SHOT,Y,2021-07-13
HL475827,3242,2005-07-11 02:01:00,6,624,SHOT,Y,2021-07-13
HL475827,3243,2005-07-11 02:01:00,6,624,SHOT,Y,2021-07-13
HL520836,3282,2005-08-01 09:05:00,3,331,STABBED,Y,2020-06-07
HL534030,3293,2005-08-07 14:23:00,8,814,SHOT,Y,2020-08-27
HL703752,3401,2005-10-29 23:45:00,6,624,SHOT,Y,2020-12-31
HL755239,3426,2005-11-25 17:58:00,10,1012,SHOT,Y,2019-12-27
HM149024,3484,2006-01-28 00:39:00,25,2534,SHOT,Y,2021-01-29
HM214100,3512,2006-03-04 23:06:00,10,1032,SHOT,Y,2021-03-05
HM375738,3612,2006-05-27 00:32:00,15,1511,SHOT,Y,2021-03-27
HM460334,3679,2006-07-07 14:14:00,8,822,SHOT,Y,2020-04-03
HM474713,3693,2006-07-14 10:15:00,9,934,SHOT,Y,2021-03-17
HM501824,3716,2006-07-27 03:00:00,10,1014,STABBED,Y,2021-09-11
HM541073,3742,2006-08-15 07:30:00,3,322,SHOT,Y,2021-09-14
HM546165,3744,2006-08-18 03:34:00,9,911,SHOT,Y,2019-01-24
HM552299,3749,2006-08-20 21:16:00,5,531,SHOT,Y,2019-12-23
HM605506,3783,2006-09-16 19:06:00,6,624,SHOT,Y,2021-03-04
HM650012,3835,2006-10-09 15:24:00,25,2521,SHOT,Y,2019-04-19
HM730751,3884,2006-11-20 10:55:00,11,1113,SHOT,Y,2020-11-10
HM760430,3905,2006-12-07 02:30:00,3,322,SHOT,Y,2021-09-14
HM797253,3928,2006-12-27 22:45:00,5,533,SHOT,Y,2019-12-19
HN185323,3969,2007-02-19 20:46:00,17,1713,ASSAULT,Y,2021-07-14
HN548631,4221,2007-08-24 23:05:00,5,511,SHOT,Y,2021-09-27
HN579833,4247,2007-09-09 22:32:00,5,532,SHOT,Y,2019-12-21
HN637117,4290,2007-10-09 05:03:00,19,1913,SHOT,Y,2019-11-27
HN696226,4322,2007-11-08 16:42:00,10,1031,SHOT,Y,2020-06-24
HN737868,4345,2007-12-02 03:00:00,11,1131,SHOT,Y,2021-02-01
HP223957,4445,2008-03-13 22:22:00,5,532,SHOT,Y,2019-02-20
HP288308,4488,2008-04-19 05:50:00,11,1122,SHOT,Y,2019-12-19
HP327809,4527,2008-05-10 10:58:00,12,1231,SHOT,Y,2020-08-05
HP402978,4584,2008-06-18 19:40:00,4,421,SHOT,Y,2019-04-17
HP506605,4687,2008-08-11 10:05:00,11,1112,SHOT,Y,2021-04-08
HP550955,4722,2008-09-03 13:41:00,18,1823,SHOT,Y,2019-04-30
HP577195,4772,2008-09-17 15:48:00,8,813,ASSAULT,Y,2019-06-27
HP610973,4780,2008-10-05 22:00:00,4,432,SHOT,Y,2019-11-29
HP610973,4781,2008-10-05 22:00:00,4,432,SHOT,Y,2019-11-29
HP750645,4882,2008-12-26 03:25:00,11,1115,SHOT,Y,2021-06-15
HR221629,4953,2009-03-17 22:14:00,25,2534,STABBED,Y,2021-03-24
HR281876,4984,2009-04-22 17:47:00,11,1112,SHOT,Y,2019-09-30
HR348652,5040,2009-05-30 06:15:00,19,1914,SHOT,Y,2019-07-08
HR397356,5082,2009-06-26 23:20:00,8,824,SHOT,Y,2020-11-19
HR412222,5120,2009-07-05 12:19:00,6,632,SHOT,Y,2020-09-28
HR439906,24627,2009-07-20 23:46:00,4,422,SHOT,Y,2019-12-18
HR561279,19106,2009-09-28 19:27:00,15,1532,SHOT,Y,2019-09-08
HR606574,19134,2009-10-25 00:57:00,2,223,SHOT,Y,2019-11-25
HR608026,19136,2009-10-25 22:16:00,15,1511,SHOT,Y,2020-05-18
HR617933,19148,2009-10-31 03:45:00,10,1012,SHOT,Y,2021-04-09
HR619811,19152,2009-11-01 04:27:00,11,1111,SHOT,Y,2020-08-29
HR640601,19168,2009-11-13 07:13:00,4,423,SHOT,Y,2020-10-26
HR710812,26286,2009-12-29 20:55:00,4,421,SHOT,Y,2021-09-27
HS134500,19254,2010-01-23 23:23:00,15,1523,SHOT,Y,2020-12-30
HS227745,19304,2010-03-27 00:29:00,5,532,SHOT,Y,2019-06-17
HS245171,19321,2010-04-06 23:44:00,10,1014,SHOT,Y,2021-06-10
HS260094,19344,2010-04-16 03:10:00,22,2234,SHOT,Y,2021-10-03
HS323180,19408,2010-05-24 02:59:00,2,214,SHOT,Y,2021-07-29
HS335199,19422,2010-05-31 03:44:00,10,1031,SHOT,Y,2019-05-01
HS377716,19470,2010-06-25 13:54:00,11,1114,STRANGULATION,Y,2020-08-11
HS439908,19522,2010-08-01 02:29:00,4,412,SHOT,Y,2020-10-28
HS439908,19523,2010-08-01 02:29:00,4,412,SHOT,Y,2020-10-28
HS469995,19557,2010-08-19 02:22:00,20,2022,SHOT,Y,2019-05-15
HS600811,19664,2010-11-05 16:41:00,7,732,SHOT,Y,2020-06-07
HS641685,19703,2010-12-01 21:13:00,22,2222,SHOT,Y,2021-05-26
HS657617,19711,2010-12-12 16:26:00,7,715,SHOT,Y,2019-09-04
HS663944,19714,2010-12-16 18:00:00,2,224,SHOT,Y,2020-10-22
HT157733,19782,2011-02-11 18:33:00,6,624,SHOT,Y,2021-03-08
HT183026,19796,2011-02-28 21:17:00,7,734,SHOT,Y,2020-01-28
HT199388,19804,2011-03-12 01:56:00,15,1531,SHOT,Y,2020-06-15
HT200791,19806,2011-03-13 01:50:00,11,1122,SHOT,Y,2021-07-22
HT342775,19919,2011-06-11 22:10:00,25,2534,SHOT,Y,2020-09-04
HT361674,19932,2011-06-23 11:07:00,10,1031,SHOT,Y,2020-08-29
HT380510,20251,2011-07-05 01:39:00,18,1823,SHOT,Y,2019-06-24
HT397655,19966,2011-07-14 23:15:00,7,711,SHOT,Y,2020-12-09
HT400137,19972,2011-07-16 13:10:00,2,222,SHOT,Y,2020-06-18
HT405253,19976,2011-07-19 16:00:00,7,732,SHOT,Y,2019-11-05
HT469703,20038,2011-08-28 09:10:00,2,234,STRANGULATION,Y,2021-12-07
HT479527,20048,2011-09-03 13:17:00,11,1124,SHOT,Y,2021-06-15
HT479527,20047,2011-09-03 13:17:00,11,1124,SHOT,Y,2021-06-15
HT515262,20078,2011-09-26 16:12:00,3,313,SHOT,Y,2019-04-02
HT548795,20102,2011-10-18 19:55:00,3,312,SHOT,Y,2020-06-17
HT598720,20163,2011-11-21 10:18:00,7,735,SHOT,Y,2021-08-06
HT599971,20164,2011-11-22 01:30:00,6,614,SHOT,Y,2019-11-08
HT612170,20169,2011-11-30 19:31:00,9,912,SHOT,Y,2021-07-21
HT653740,20220,2011-12-30 21:33:00,7,712,ASSAULT,Y,2020-05-08
HV128858,20261,2012-01-23 15:53:00,7,726,SHOT,Y,2019-08-09
HV170129,20285,2012-02-23 18:42:00,10,1022,SHOT,Y,2021-03-10
HV186143,20331,2012-03-06 21:02:00,2,213,ASSAULT,Y,2020-02-03
HV202542,20318,2012-03-17 22:20:00,3,314,SHOT,Y,2020-03-13
HV284070,20411,2012-05-13 01:22:00,16,1623,ASPHYXIATION,Y,2020-07-06
HV320622,20446,2012-06-05 22:39:00,3,322,SHOT,Y,2019-10-25
HV005095,20487,2012-06-30 02:15:00,10,1013,SHOT,Y,2019-06-17
