case_number,id,date,injury_type,cleared,date_clear,beat,district,time_to_clear
G057558,671.0,2001-01-01 00:00:00,STABBED,Y,2001-02-26,612.0,6.0,56.0
G000705,634.0,2001-01-01 00:00:00,SHOT,N,,1125.0,11.0,
G005960,637.0,2001-01-03 00:00:00,SHOT,Y,2001-02-16,2535.0,25.0,44.0
G008548,636.0,2001-01-04 00:00:00,SHOT,Y,2001-01-19,1021.0,10.0,15.0
G008793,638.0,2001-01-05 00:00:00,SHOT,N,,611.0,6.0,
G011117,644.0,2001-01-06 00:00:00,SHOT,Y,2001-02-27,424.0,4.0,52.0
G011288,639.0,2001-01-06 00:00:00,SHOT,N,,1222.0,12.0,
G011894,640.0,2001-01-06 00:00:00,SHOT,Y,2001-03-14,524.0,5.0,67.0
G013038,641.0,2001-01-06 00:00:00,SHOT,Y,2001-01-31,2515.0,25.0,25.0
G013102,642.0,2001-01-07 00:00:00,SHOT,N,,624.0,6.0,
G019063,645.0,2001-01-09 00:00:00,SHOT,N,,712.0,7.0,
G019133,646.0,2001-01-09 00:00:00,SHOT,Y,2001-01-17,1712.0,17.0,8.0
G021128,647.0,2001-01-10 00:00:00,SHOT,Y,2005-01-31,333.0,3.0,1482.0
G021349,648.0,2001-01-10 00:00:00,STABBED,Y,2001-02-01,333.0,3.0,22.0
G022582,649.0,2001-01-11 00:00:00,SHOT,Y,2005-02-24,334.0,3.0,1505.0
G023235,650.0,2001-01-11 00:00:00,SHOT,Y,2002-11-01,511.0,5.0,659.0
G023235,651.0,2001-01-11 00:00:00,SHOT,Y,2002-11-01,511.0,5.0,659.0
G023298,652.0,2001-01-11 00:00:00,SHOT,Y,2001-01-16,1513.0,15.0,5.0
G023498,653.0,2001-01-11 00:00:00,SHOT,N,,633.0,6.0,
G026985,654.0,2001-01-13 00:00:00,STRANGULATION,Y,2001-01-16,1923.0,19.0,3.0
G028698,655.0,2001-01-14 00:00:00,SHOT,N,,1532.0,15.0,
G029375,656.0,2001-01-14 00:00:00,SHOT,Y,2001-02-26,2222.0,22.0,43.0
G030711,657.0,2001-01-15 00:00:00,SHOT,Y,2001-01-17,1013.0,10.0,2.0
G032399,658.0,2001-01-16 00:00:00,ASSAULT,Y,2001-01-18,932.0,9.0,2.0
G032407,659.0,2001-01-16 00:00:00,SHOT,Y,2001-05-28,1111.0,11.0,132.0
G032650,660.0,2001-01-16 00:00:00,ASSAULT,Y,2001-01-18,623.0,6.0,2.0
G038441,661.0,2001-01-18 00:00:00,SHOT,N,,1113.0,11.0,
G038670,662.0,2001-01-19 00:00:00,SHOT,Y,2004-06-21,1724.0,17.0,1249.0
G040822,663.0,2001-01-20 00:00:00,SHOT,Y,2001-01-24,1111.0,11.0,4.0
G042611,664.0,2001-01-20 00:00:00,SHOT,Y,2001-07-05,1121.0,11.0,166.0
G042741,665.0,2001-01-21 00:00:00,SHOT,Y,2001-02-01,1024.0,,11.0
G042730,666.0,2001-01-21 00:00:00,SHOT,Y,2001-02-26,414.0,4.0,36.0
G042867,674.0,2001-01-21 00:00:00,ASSAULT,N,,911.0,9.0,
G042885,667.0,2001-01-21 00:00:00,SHOT,Y,2001-01-22,2534.0,25.0,1.0
G046258,690.0,2001-01-22 00:00:00,SHOT,N,,533.0,5.0,
G046555,668.0,2001-01-22 00:00:00,SHOT,Y,2001-02-14,531.0,5.0,23.0
G054526,672.0,2001-01-26 00:00:00,SHOT,N,,712.0,7.0,
G057222,670.0,2001-01-28 00:00:00,SHOT,Y,2001-02-09,1114.0,11.0,12.0
